Site #,Site Id,Ward,Date,Start,Finish,Team,Fixed,Width 1,Width 2,Width 3,Street,St. Type,Lanes,Divided,Area,Grass Ht.(Inches),FastFood,ConvStore,MobileFood,"Bench or
Resting
Structure",Bus Stop,"Traffic
Light/
Stop sign",Litter Bin,"Large
Litter
Count","Small
Litter
Count",Catch Pt,LitterIndex,Cleanup,Details,Street,Coordinates,"Updated
Coordinates from
Previous Survey",Comments,2012_large,2012_small,2012_total
30,35,17,22-Sep-16,10:03 AM,10:05 AM,C,Var,6,6,6,McFarland Ave.,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,11,4,Curb,2,N,,Ave,"N:43.67371
W:79.442423",,,40,4,44
31,36,14,20-Sep-16,3:34 PM,3:47 PM,C,Var,18,11,11,Dupont St.,Major,2,N,Res-Com,N/A,N,N,N,Y,N,N,Y,3,59,Curb,1,N,,Street,"N:43.666352
W:79.449495",,Divided city bin,3,0,3
32,37,14,20-Sep-16,3:59 PM,4:20 PM,C,Var,6,6,7,Campbell Ave.,Minor,2,N,Res-Park,3 to 6,N,N,N,Y,N,Y,Y,6,7,"Fence-Hedge-
Curb-Grass
Line",1,N,,Ave,"N:43.664234
W:79.449789",,1 set of waste & recycling carts,7,0,7
33,38,14,15-Sep-16,10:20 AM,10:30 AM,C,Var,8.5,7.5,8.5,Indian Trail,Minor,2,N,Res,3 to 6,N,N,N,N,N,N,N,0,0,"Curb-Grass
Line",1,N,,Trail,"N:43.653918
W:79.45751",,,1,0,1
34,39,14,15-Sep-16,10:40 AM,10:52 AM,C,Var,7.5,7.5,7.5,Sunnyside Ave.,Minor,2,N,Res,3 to 6,N,N,N,N,N,N,N,5,3,"Curb-Grass
Line",1,N,,Ave,"N:43.648194
W:79.452721",,,2,0,2
35,40,14,15-Sep-16,3:00 PM,3:18 PM,C,Var,18,12.5,16,Queen St. W.,Major,4,N,Com,N/A,N,Y,N,Y,Y,Y,Y,17,27,Curb,3,N,1 divided city bin,Street,"N:43.63945
W:79.443317",,"curb to sidewalk, and curb to
parking lot",12,10,22
36,41,18,15-Sep-16,11:22 AM,11:37 AM,C,Var,7,7.5,7.5,Whytock Ave.,Minor,2,N,Com-Res,N/A,N,N,N,Y,N,Y,Y,11,4,Curb,3,N,"1 set of park waste carts, 1 divided city bin",Ave,N:43.653728 W:79.442256,,Construction at corner near audit site. Playground across the street,4,3,7
37,42,18,14-Sep-16,8:40 AM,8:56 AM,C,Var,7,6,6,Muir Ave.,Minor,2,N,Res,N/A,N,N,N,N,Y,Y,N,17.5,3,Curb,3,N,,Ave,"N:43.653795
W:79.434432",,two curbs,4,2,6
38,43,18,14-Sep-16,9:15 AM,9:40 AM,C,Var,5,6,6,Macklem Ave.,Minor,1,N,Com-Res,N/A,N,N,N,N,N,Y,N,5.5,4,Curb,2,N,,Ave,"N:43.651596
W:79.431628",,"secondary curb is stairs/ garden
walls",23,3,26
39,44,19,14-Sep-16,8:44 AM,8:55 AM,A,Var,7.5,7.5,7,Pendrith St.,Minor,2,N,Res,3 to 6,N,N,N,Y,N,Y,N,8,2,"Fence-Curb-
Driveway",2,N,,Street,"N:46.665974
W:79.425863",,,15,2,17
