Site #,Site Id,Ward,Date,Start,Finish,Team,Fixed,Width 1,Width 2,Width 3,Street,St. Type,Lanes,Divided,Area,Grass Ht.(Inches),FastFood,ConvStore,MobileFood,"Bench or
Resting
Structure",Bus Stop,"Traffic
Light/
Stop sign",Litter Bin,"Large
Litter
Count","Small
Litter
Count",Catch Pt,LitterIndex,Cleanup,Details,Street,Coordinates,"Updated
Coordinates from
Previous Survey",Comments,2012_large,2012_small,2012_total
182,204,22,19-Sep-16,11:28 AM,11:38 AM,B,Var,7.5,6.5,6.5,Berwick Ave.,Minor,2,N,Res-Com,N/A,N,N,N,N,N,Y,N,0,2,Curb,1,N,,Ave,"N:43.704017
W:79.399475",,,32,5,37
183,205,22,19-Sep-16,12:24 PM,12:37 PM,B,Var,18,18,6.5,Chaplin Cres,Minor,2,N,Res,3 to 6,N,Y,N,N,N,Y,Y,17.5,5,Fence-Curb-Grass Line,2,N,2 bins on either side of street,Crescent,N:43.698121W:79.398555,,apartments located east of duplex ave. Last 30ft of site under construction,6,0,6
184,206,22,14-Sep-16,12:10 PM,12:23 PM,A,Var,9,8,8,Avenue Rd.,Major,6,N,Res,N/A,N,N,N,Y,Y,Y,N,3,8,"Curb-Property
Line",1,N,,Road,"N:43.683928
W:79.400897",,"surrounded by apartment
complexes",4,8,12
185,207,27,14-Sep-16,11:15 AM,11:29 AM,A,Var,8.5,7,7,Roxborough St. W,Minor,2,N,Res,3 to 6,Y,N,N,Y,N,Y,N,10,5,Fence-Curb,1,N,,Street,"N:43.678265
W:79.390939",,,19,1,20
186,208,27,14-Sep-16,10:47 AM,11:01 AM,A,Var,12,18,18,Mt. Pleasant Rd.,Major,4,N,Res-Com,3 to 6,N,N,N,Y,N,Y,N,10,9,"Curb-Property
Line",1,N,,Road,"N:43.674473
W:79.380628",,"adjacent to private school
campus. Outside of wellness
centre",3,3,6
187,209,28,12-Sep-16,1:05 PM,1:20 PM,C,Var,11,18,18,Prospect St.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,8,6,"Fence-Curb-
Garden",1,N,,Street,"N:43.666804
W:79.371309",,"elementary schools on south
side of street",25,1,26
188,210,27,12-Sep-16,11:21 AM,11:50 AM,C,Var,18,14,7,Mutual St.,Major,2,N,Res-Com,N/A,Y,N,N,Y,Y,N,Y,11,20,Fence-Hedge-Curb,3,Y,Apt superintedent sweeping in front of building,Street,N:43.65601W:79.37529,*,Construction across street,9,12,21
189,211,20,12-Sep-16,2:37 PM,2:38 PM,A,Var,13.5,13,12,John St.,Major,4,N,Com,N/A,Y,N,N,N,N,Y,N,2,13,Curb-Building,1,N,,Street,"N:43.64649
W:79.38526",*,,6,3,9
190,212,28,12-Sep-16,11:45 AM,12:00 PM,B,Fixed,18,18,18,Colbourne St.,Minor,2,N,Com,N/A,Y,N,N,Y,N,Y,Y,15,18,Curb,2,N,,Street,"N:43.648736
W:79.377173",,Construction in the area,17,17,34
191,213,28,12-Sep-16,1:27 PM,1:43 PM,B,Var,12,18,18,George St.,Minor,2,N,Res,N/A,N,N,N,Y,Y,Y,N,26,14,Hedge,1,N,,Street,"N:43.647814
W:79.369819",,,13,19,32
192,214,28,12-Sep-16,3:55 PM,4:09 PM,B,Fixed,18,18,18,Richmond St. E.,Major,4,N,Com,N/A,Y,Y,N,N,N,Y,Y,18,8,Curb,1,N,"Bin around corner on
Power",Street,"N:43.654791
W:79.364009",,adjacent to gas station,12,7,19
193,215,28,13-Sep-16,12:35 PM,12:50 PM,B,Var,10,6,13,Pashler Ave.,Lane,2,N,Com,over 6,N,N,N,N,N,Y,N,28,11,Fence-Hedge-Grass Line,1,N,Church garbage bins on North end,Ave,N:43.659365W:79.363975,,site is adjacent to school and an apartment. Construction near south end of site,6,4,10
194,216,28,13-Sep-16,2:05 PM,2:18 PM,B,Var,5,5,5.5,Bright St.,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,17.5,1,"Fence-Hedge-
Curb",3,N,,Street,"N:43.655997
W:79.359537",,Start @ 43 heading south,14,1,15
195,217,28,13-Sep-16,1:10 PM,1:23 PM,B,Var,6,6,6,Dundas St. E,Major,4,N,Res-Ind,<3,Y,N,N,N,N,Y,N,42,4,Fence-Hedge,4,Y,"Street cleaner across
street",Street,"N:43.660802
W:79.359056",,"Original site under construction;
whole site heavy construction",31,7,38
196,218,30,13-Sep-16,10:20 AM,10:30 AM,B,Fixed,18,18,18,Carroll St.,Lane,1,N,Res-Park,N/A,N,N,N,Y,N,Y,Y,1,2,"Curb-Sewer
Grate",1,N,,Street,"N:43.659377
W:79.353158",,paved walkway,27,1,28
197,219,30,13-Sep-16,10:35 AM,10:46 AM,B,Var,5.5,18,6,Kintyre Ave.,Minor,2,N,Res,<3,N,N,N,N,N,Y,N,14,3,"Hedge-Curb-
Grass Line",2,Y,"City worker picking up
litter",Ave,"N:43.660121
W:79.351637",,,26,3,29
198,220,28,15-Sep-16,12:00 PM,12:11 PM,A,Var,18,18,18,Lake Shore Ave.,Major,1,N,Park,3 to 6,N,N,N,Y,N,N,Y,10,4,Grass Line,1,N,,Ave,"N:43.61341
W:79.38316",*,,1,2,3
199,221,32,15-Sep-16,1:15 PM,2:03 PM,B,Var,11,16,16,Cedarvale Ave.,Minor,2,N,Res,over 6,N,Y,N,N,N,Y,N,120,16,Fence-Hedge-Curb-Grass-Tree Line-Sewer,4,N,,Street,N:43.687115W:79.311354,,,2,2,4
200,222,26,19-Sep-16,8:33 AM,8:50 AM,B,Fixed,18,18,18,Don Mills Rd.,Major,6,N,Res,<3,N,N,N,N,Y,Y,Y,18.5,18,Curb-Grass Line,2,Y,Street cleaner vacuum present. Bins within study site,Road,N: 43.71761W:79.33791,*,in front of science centre,5,36,41
201,223,26,19-Sep-16,1:36 PM,1:49 PM,B,Fixed,18,18,18,Millwood Rd,Major,4,Y,Com-Park,<3,Y,N,N,Y,Y,Y,Y,11,7,"Curb-Grass
Line",2,N,Bins @ corner,Road,"N: 43.70166
W:79.35196",*,,5,4,9
202,224,26,19-Sep-16,2:25 PM,2:39 PM,B,Var,16,16,16,Overlea Blvd.,Major,4,Y,Res,<3,Y,Y,N,Y,Y,Y,Y,12,16,Fence-Curb,1,N,"both sides of streets,
next two bus stops",Blvd,"N:43.703885
W:79.350232",,,6,6,12
203,250,19,13-Sep-16,9:40 AM,9:46 AM,A,Fixed,18,18,18,Stafford St.,Minor,2,N,Com,N/A,Y,Y,N,N,Y,Y,Y,5.5,9,Curb-Building,2,N,,Street,"N:43.64196
W:79.41069",*,"Site starts @ corner of King &
Stafford towards Canniff,
alongside Shoppers",4,6,10
204,251,20,12-Sep-16,11:35 AM,11:50 AM,A,Fixed,18,18,18,University Ave,Major,6,Y,Com,3 to 6,N,N,N,Y,N,Y,Y,2,24,"Curb-Wall
Building",1,Y,"City worker picking up
litter",Ave,"N: 43.65351
W:79.38787",*,Outside court house,6,6,12
205,252,28,15-Sep-16,11:27 AM,11:39 AM,A,Fixed,18,18,18,Avenue (of the Island),Lane,1,N,Park,<3,N,N,N,Y,N,N,Y,0,7,Grass Line,1,N,"Garbage & recycling on
corner of point 1",Ave,"N:43.62126
W:79.376807",,"park trail in front of fountain
heading west",5,4,9
206,254,19,13-Sep-16,9:05 AM,9:25 AM,C,Var,18,18,7.5,Clinton St.,Minor,2,N,Res-Com,N/A,Y,Y,N,Y,N,Y,N,10,26,Hedge-Curb,2,N,,Street,"N: 43.66333
W:79.41704",*,,11,18,29
207,256,28,12-Sep-16,12:36 PM,12:47 PM,A,Fixed,18,18,18,King St. W.,Major,4,N,Com,N/A,Y,N,N,Y,Y,Y,Y,3,15,Curb-Building,1,N,,Street,"N: 43.64782
W:79.38412",*,,6,10,16
208,257,28,13-Sep-16,9:35 AM,9:50 AM,B,Var,5,5,5,Parkview Ave.,Minor,2,N,Res,3 to 6,N,N,N,Y,N,Y,Y,10,2,Curb,2,Y,"Park bin end of street.
Resident out cleaning
curb",Ave,"N:43.670043
W:79.364289",,,2,1,3
209,258,28,12-Sep-16,3:30 PM,3:45 PM,B,Var,7,8,6,Sackville St.,Minor,2,N,Res,3 to 6,N,N,N,N,Y,Y,N,7,1,Hedge-Curb,2,N,,Street,"N:43.65501
W:79.361196",,adjacent to elementary school,21,8,29
210,259,27,12-Sep-16,10:38 AM,11:00 AM,C,Fixed,18,18,18,Dundas St. W.,Major,4,N,Com,N/A,Y,N,Y,N,Y,Y,Y,7.5,63,"Curb- Cement
planter-Bike
rack",2,N,,Street,"N: 43.65627
W:79.38117",*,"Bus stop located in 1st section
of survey area, at end of survey
area extended due to garden",55,14,69
211,260,20,13-Sep-16,3:30 PM,3:50 PM,A,Fixed,18,18,18,Spadina Ave.,Major,5,Y,Com,N/A,Y,Y,N,Y,Y,Y,Y,5,94,Curb-Building,2,N,,Ave,"N: 43.65315
W:79.39798",*,"various store fronts next to
survey area, 5th lane is centre
transit lane",23,21,44
212,261,20,13-Sep-16,2:15 PM,2:36 PM,C,Fixed,18,18,18,Augusta Ave.,Minor,2,N,Com,N/A,N,Y,Y,N,Y,Y,Y,2,66,Hedge-Curb-Cement planter,1,N,,Ave,N:43.65591 W:79.40253,*,start point in front of Big Fat Burrito,15,14,29
213,270,28,15-Sep-16,10:50 AM,10:59 AM,A,Var,18,11.5,12,Lake Shore Ave.,Boardwalk,1,N,Park,3 to 6,N,N,N,N,N,N,Y,6,2,Grass Line,1,N,Garbage bin,Ave,"N:43.62270
W:79.36176",*,wooden boardwalk,3,4,7
214,271,36,19-Sep-16,8:45 AM,8:52 AM,A,Var,4,4,4,Wynnview Crt.,Lane,2,N,Res,3 to 6,N,N,N,N,N,N,N,2,6,Grass Line,1,N,,Crescent,"N:43.69780
W:79.25379",*,,0,2,2
215,300,19,13-Sep-16,9:35 AM,9:51 AM,C,Var,18,14,14,Bloor St. W,Major,5,N,Res-Com,N/A,Y,Y,N,N,N,Y,Y,6,49,Curb-Garden,2,N,3 divided city bins,Street,"N:43.66438
W:79.41489",*,,8,54,62
216,301,20,13-Sep-16,10:04 AM,10:22 AM,C,Var,18,14,18,Bloor St. W.,Major,5,N,Res-Com,N/A,Y,Y,N,N,N,Y,Y,2,63,"Curb-Tree
edge",1,Y,"Litter typically
collected 6 or 7 AM",Street,"N:43.66551
W:79.40916",*,,21,25,46
217,302,20,13-Sep-16,10:35 AM,10:45 AM,C,Var,18,6.5,6.5,Sussex Ave.,Minor,2,N,Res-Come,<3,N,Y,N,N,Y,N,Y,0,10,"Fence-Curb-
Grass Line",1,N,3 divided city bins,Ave,"N:43.66481
W:79.40177",*,University of Toronto buildings,19,1,20
218,303,20,13-Sep-16,11:00 AM,11:13 AM,C,Var,18,6.5,6.5,Borden St.,Minor,2,N,Res-Com,<3,N,N,N,N,N,Y,Y,3,8,"Hedge-Curb-
Grass Line",1,N,1 divided city bin,Street,"N: 43.66146
W:79.40698",*,one way street,21,4,25
219,304,20,19-Sep-16,5:55 PM,6:26 PM,C,Var,6,8,18,Lippincott St.,Minor,2,N,Res-Com,over 6,Y,N,N,Y,Y,Y,Y,43,42,"Fence-Hedge-
Curb-Grass
Line",3,N,1 divided city bin,Street,"N:43.76957
W:79.28236",*,"Site across from school,
construction at home 107
Lippincott",5,3,8
220,305,20,13-Sep-16,2:44 PM,3:20 PM,C,Var,18,18,16,Spadina Ave.,Major,5,Y,Com,N/A,Y,Y,N,N,Y,Y,Y,31,75,"Curb-Tree
edge",4,N,divided city bins,Ave,"N: 43.65759
W:79.40006",*,"start point in front of Aum
Centre Yoga, multiple store
fronts along length of site",20,40,60
221,306,20,14-Sep-16,2:00 PM,2:19 PM,C,Var,7.5,12.5,18,Kensington Ave.,Lane,2,N,Res-Com,N/A,N,N,N,Y,N,N,N,3,30,Curb,1,N,,Ave,"N:43.65290
W:79.40008",*,"various store fronts along survey
area",16,33,49
222,307,20,13-Sep-16,2:40 PM,2:46 PM,A,Var,11.5,13,12,Dundas St. W.,Major,4,N,Com,N/A,N,Y,N,Y,N,Y,N,8,18,Curb-Building,1,N,,Street,"N:43.652619
W:79.400599",,,14,27,41
223,308,20,14-Sep-16,12:40 PM,1:00 PM,C,Var,6,6,6,Hickory St.,Lane,2,N,Res-Com,N/A,Y,N,N,N,N,Y,Y,15.5,9,Fence-Curb,3,N,1 divided city bin,Street,"N: 43.65249
W:79.40305",*,Construction along site,10,4,14
224,309,20,13-Sep-16,2:55 PM,3:07 PM,A,Var,11,12.5,13.5,Dundas St. W.,Major,4,N,Com,<3,Y,N,Y,Y,Y,Y,Y,5,33,"Curb-Grass
Line",2,N,"Garbage & recycling
bins",Street,"N:46.650203
W:79.40474",*,"Outside hospital, library across
street",18,14,32
225,310,20,13-Sep-16,12:06 PM,12:23 PM,A,Fixed,18,18,18,Eden PL,Lane,2,N,Res,N/A,N,N,N,N,N,N,N,11,26,Fence,2,N,,Place,"N:43.64907
W:79.40410",*,side street/laneway,73,6,79
226,311,19,14-Sep-16,11:54 AM,12:12 PM,C,Var,15,17,12,Euclid Ave.,alleyway,1,N,Com,N/A,N,N,N,N,N,N,N,11.5,9,"Fence-Hedge-
Curb-Sewer",2,N,,Ave,"N:43.650356
W:79.410013",,"Measured from one side of the
alleyway to the other, two curbs",35,6,41
227,312,19,14-Sep-16,11:25 AM,11:44 AM,C,Var,13,7,7,Mansfield Ave.,Minor,2,N,Res-Com,N/A,N,N,N,N,N,Y,N,8,11,Fence-Curb,1,N,,Ave,"N:43.65361
W:79.41319",*,,21,3,24
228,313,19,14-Sep-16,10:26 AM,10:45 AM,C,Var,7,7,18,Crawford St.,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,32.5,27,"Fence-Hedge-
Curb",4,N,,Street,"N:43.653767
W:79.418416",,,13,16,29
229,315,19,13-Sep-16,9:52 AM,10:05 AM,A,Fixed,18,18,18,Niagara St.,Minor,2,N,Res,<3,N,N,N,Y,N,Y,N,15,17,Curb-Building,3,N,,Street,"N:43.641546
W:79.404511",*,"In front of apartment complex,
construction across street",11,17,28
230,316,20,13-Sep-16,10:43 AM,10:59 AM,A,Fixed,18,18,18,Wellington St. W,Major,4,N,Res-Com,N/A,N,N,N,Y,N,Y,Y,8.5,10,Curb-Building,1,N,,Street,"N:43.64329
W:79.39894",*,small parking lot on street,15,24,39
231,317,20,12-Sep-16,3:30 PM,3:38 PM,A,Fixed,18,18,18,Adelaide St. W,Major,4,N,Com,N/A,Y,N,N,Y,N,Y,Y,1,15,Curb-Building,1,N,,Street,"N:43.646033
W:79.397936",,,12,7,19
232,318,20,12-Sep-16,3:57 PM,4:06 PM,A,Var,11,18,10,Augusta Ave.,Minor,2,N,Res-Com,<3,Y,N,N,N,N,Y,N,11,24,"Fence-Curb-
Building",1,N,,Ave,"N:43.648504
W:79.399767",,,12,9,21
233,320,20,15-Sep-16,1:56 PM,2:06 PM,C,Var,8.5,7.5,7.5,Sullivan St.,Lane,2,N,Res,<3,N,N,N,N,N,Y,N,8,0,"Fence-Curb-
Grass Line",1,N,,Street,"N:43.65150
W:79.39457",*,,10,8,18
234,321,20,12-Sep-16,12:00 PM,12:15 PM,A,Var,14,16.5,14.5,Queen St. W.,Major,4,N,Com,N/A,Y,N,Y,Y,Y,Y,Y,0,0,"Curb-Building
Wall",1,N,,Street,"N:43.65052
W:79.38806",*,Construction across street,12,21,33
235,323,20,12-Sep-16,2:10 PM,2:26 PM,A,Var,18,15,18,John St.,Major,4,N,Com,N/A,Y,N,N,N,N,Y,Y,11,26,Curb,1,N,,Street,"N:43.644833
W:79.388959",,,2,3,5
236,324,28,22-Sep-16,8:48 AM,9:05 AM,C,Var,11.5,11,13,Cooper St.,Major,2,N,Com,<3,N,N,N,Y,N,Y,Y,11.5,19,"Curb-Grass
Line",2,N,,Street,"N:43.75010
W:79.41284",,"commercial lot along north end
of site and small park along
south end",8,13,21
237,326,27,12-Sep-16,3:50 PM,4:06 PM,C,Var,18,11,10,St. Nicholas St.,Minor,2,N,Res,N/A,Y,N,N,Y,N,Y,Y,1,7,Fence-Hedge,1,N,,Street,"N:43.667368
W:79.386529",,,5,8,13
238,328,27,12-Sep-16,3:20 PM,3:41 PM,C,Var,12,6,6,Gloucester St.,Minor,2,N,Res,N/A,N,Y,N,Y,N,N,N,7,17,Fence-Hedge,1,N,,Street,N:43.667405W:79.38242,,"next to a low rise at east end of site and high rise at went end of site, surveyed on to apartment lawns",11,4,15
239,329,27,12-Sep-16,4:29 PM,4:50 PM,C,Var,16,18,18,Grosvenor St.,Minor,4,N,Res-Com,3 to 6,Y,Y,N,N,Y,Y,Y,38,34,"Curb-Grass
Line-Concrete
divider",4,N,,Street,"N:43.66215
W:79.38676",*,"Construction taking place across
from site, workers take break on
North side of Grosvenor.
Women's College Hospital
Across St",25,35,60
240,330,28,12-Sep-16,12:40 PM,12:57 PM,C,Var,11.5,11.5,11.5,Ontario St.,Minor,2,N,Res-Com-Park,N/A,N,N,N,Y,N,Y,Y,3,22,Fence-Curb,1,N,,Street,"N:43.664231
W:79.370696",,"start point corner of Abelden
and Ontario. Small park across
street",16,3,19
241,332,27,12-Sep-16,12:04 PM,12:30 PM,C,Fixed,18,18,18,Gerrard St. E.,Major,4,N,Res-Com-Park,<3,N,N,N,Y,N,Y,Y,3.5,89,Curb,1,N,,Street,"N:43.661043
W:79.374296",,"Two curbs, city park at east end
and church at west end",24,7,31
242,333,28,13-Sep-16,11:23 AM,11:40 AM,B,Var,18,18,11,Dundas St. E.,Major,4,N,Com-Res,N/A,N,Y,N,N,N,Y,Y,54,11,Curb,4,N,Bins on site,Street,"N:43.658961
W:79.367351",,,15,11,26
243,334,28,12-Sep-16,12:50 PM,1:05 PM,B,Var,9,8,9,Richmond St. E.,Major,4,N,Com,N/A,Y,N,N,N,N,Y,Y,6,14,Curb,1,N,,Street,"N:43.653288
W:79.37052",,"restaurants on north side,
residential on south side of site",7,12,19
244,335,28,12-Sep-16,2:00 PM,2:15 PM,B,Var,10,10,10,Frederick St.,Minor,2,N,Res,N/A,N,N,N,N,Y,Y,N,29,7,Curb,3,N,,Street,"N:43.649263
W:79.369156",,,20,29,49
245,336,28,12-Sep-16,2:30 PM,2:45 PM,B,Var,18,11,18,The Esplanade,Minor,4,N,Res-Com-Park,N/A,Y,N,N,Y,Y,Y,Y,8,35,"Curb-Metal
grates",2,N,,Esplanade,"N:43.649945
W:79.364121",,,3,19,22
246,337,41,22-Sep-16,10:04 AM,10:15 AM,A,Fixed,18,18,18,Midland Ave,Major,4,N,Res,3 to 6,N,N,N,Y,Y,Y,Y,8,8,"Curb-Grass
Line",1,N,,Ave,"N:43.78881
W:79.27985",*,"begins in front of Agincourt High
school",4,10,14
247,338,7,16-Sep-16,9:39 AM,9:50 AM,A,Var,17,17,17,Benrubin Dr.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,11,2,"Curb-Grass
Line",2,N,,Drive,"N:43.752009
W:79.565628",,,7,0,7
248,401,1,16-Sep-16,1:30 PM,1:40 PM,A,Fixed,18,18,18,Sanagan Rd,Minor,2,N,Res,<3,N,N,N,N,Y,Y,Y,30,26,"Curb-Grass
Line",2,N,City bin with pedal,Road,"N:43.738435
W:79.577298",,"adjacent to low rise apartment
complex",32,12,44
249,402,1,16-Sep-16,8:43 AM,8:55 AM,A,Fixed,18,18,18,Garfella Dr,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,25,10,Curb-Grass Line,3,N,,Drive,N:43.745327W:79.593311,,"large apartment complex to north west of site, many children were being walked to school along route",17,2,19
250,403,3,16-Sep-16,11:07 AM,11:20 AM,C,Var,16,17.5,18,Gentian Dr,Minor,2,N,Res,3 to 6,N,N,N,N,Y,Y,N,2,4,"Curb-Grass-
Tree Line",1,N,,Drive,"N:43.665151
W:79.583458",,,2,2,4
251,405,5,19-Sep-16,11:44 AM,11:56 AM,C,Var,18,14,14,Cochrane Dr,Minor,2,N,Res,<3,N,N,N,N,N,Y,Y,2,2,"Curb-Grass
Line",1,N,,Drive,"N: 43.62776
W:79.50756",*,"survey completed in Queensway
Park",3,0,3
252,406,6,19-Sep-16,9:29 AM,9:40 AM,C,Var,5,6.5,6.5,Symons St,Minor,2,N,Res,over 6,N,N,N,N,N,N,N,3,1,Hedge-Curb,1,N,,Street,"N:43.607666
W:79.493473",,"Pipe laying construction along
road",0,1,1
253,407,13,20-Sep-16,9:32 AM,9:40 AM,C,Var,18,18,7.5,Langmuir Cres,Minor,2,N,Res,3 to 6,N,N,N,Y,N,Y,Y,3,1,"Curb-Stone
walls",1,N,,Crescent,"N:43.655599
W:79.493872",,"cashman park is same side of
site, residential houses on
adjacent side",2,1,3
254,408,14,15-Sep-16,3:34 PM,3:49 PM,C,Var,15.5,15.5,15.5,Jameson Ave,Minor,2,N,Res,<3,N,N,N,Y,Y,Y,N,3,18,"Fence-Curb-
Grass Line",1,N,,Ave,"N:43.636312
W:79.436354",,,33,47,80
255,409,15,20-Sep-16,12:00 PM,12:30 PM,B,Fixed,18,18,18,Castlefield Ave,Major,2,N,Park,3 to 6,N,N,N,Y,N,Y,Y,8,7,"Grass-Tree
Line",1,N,,Ave,"N:43.696485
W:79.469323",,,64,9,73
256,410,16,22-Sep-16,10:23 AM,10:32 AM,B,Var,2,2,2,Grey Rd,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,6,0,Curb,1,N,,Road,"N:43.728026
W:79.421116",,"Construction on Grey at
St.Germaine. Start at 289
heading west",4,3,7
257,411,17,14-Sep-16,3:10 PM,3:22 PM,A,Var,7,7,7,Northcliffe Blv,Minor,2,N,Res,3 to 6,Y,N,N,N,N,Y,N,2,6,"Fence-Curb-
Grass Line",1,N,,Blvd,"N:43.679081
W:79.440975",,"across from elementary school.
One way street one lane for
driving one for parking",30,3,33
258,412,18,15-Sep-16,11:03 AM,11:20 AM,C,Var,6.5,6.5,6.5,Dublin St,Minor,2,N,Com-Res,N/A,N,N,N,N,N,Y,N,15,13,"Fence-Hedge-
Curb",2,N,,Street,"N:43.654536
W:79.443486",,"one way street, one lane for
diving and a narrow one for
parking",14,2,16
259,413,20,13-Sep-16,12:13 PM,12:24 PM,C,Var,10,6.5,6.5,Lippincott St,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,0,7,Fence-Curb,1,N,,Street,"N:43.65843
W:79.40722",*,"directly in front of King Edward
Public School",50,4,54
260,414,25,21-Sep-16,11:45 AM,11:51 AM,B,Var,2,2,2,Hopperton Dr,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,4,1,Curb,1,N,,Drive,"N:43.76461
W:79.37136",*,"West side, starts at 56 towards
woodsworth",1,4,5
261,415,25,21-Sep-16,12:14 PM,12:18 PM,B,Var,2,2,2,Shouldice Crt,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,2.5,0,Curb,1,N,,Court,"N:43.76261
W:79.36517",*,,0,2,2
262,416,27,13-Sep-16,3:32 PM,3:41 PM,B,Fixed,18,18,18,Grosvenor St,Minor,2,N,"Com-
Government
Buildings
(Inst)",3 to 6,N,N,N,Y,N,Y,N,6.5,9,Hedge-Curb,2,N,,Street,"N:43.66189
W:79.38929",*,"site in front of Frost North
building",0,3,3
263,417,28,12-Sep-16,4:20 PM,4:40 PM,B,Var,18,5,18,Sydenham St,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,30.5,8,Hedge-Curb,4,N,,Street,N:49.656917W:79.362483,,,12,2,14
264,418,29,15-Sep-16,10:25 AM,10:37 AM,B,Var,18,18,10,Memorial Park Ave,Minor,1,N,Res-Park,3 to 6,N,Y,N,Y,N,Y,Y,6,2,Fence-Curb,2,N,,Ave,"N:43.69069
W:79.33517",*,site within park area,29,2,31
265,419,30,14-Sep-16,12:18 PM,12:27 PM,B,Var,4.5,6,5.5,Winnifred Ave,Minor,2,N,Res,N/A,N,N,N,N,N,N,N,4,1,Fence-Hedge-Curb-Grass Line,1,N,,Ave,N:43.659511W:79.335338,,site bound by a curb on the west and residential properties on the east. House construction. Start at 18 moving North,5,2,7
266,420,31,15-Sep-16,10:49 AM,11:02 AM,B,Var,6.5,6.5,6.5,Dunkirk Rd,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,11,2,"Fence-Curb-
Wood/cement
buildups",1,N,,Road,"N:43.692795
W:79.31942",,,6,0,6
267,421,32,14-Sep-16,2:01 PM,2:10 PM,B,Var,8,8,8,Rhodes Ave,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,7.5,5,Curb-Sewer,2,N,,Ave,"N:43.673474
W:79.32121",,"one way road. Start at 325
heading South",5,0,5
268,422,34,21-Sep-16,12:41 PM,12:57 PM,B,Fixed,18,18,18,Upjohn Rd.,Major,2,N,Com,<3,Y,N,N,N,N,Y,N,11.5,3,"Curb-Grass
Line",1,N,,Road,"N:43.75373
W:79.35041",*,"across from Gallery Market
Place",4,7,11
269,423,36,19-Sep-16,8:25 AM,8:35 AM,A,Var,6,6,2,Kenny Ave,Minor,2,N,Res,3 to 6,N,N,N,N,Y,N,N,5,4,"Curb-Grass-
Property Line",2,N,,Ave,"N:43.69139
W:79.27254",*,,2,0,2
270,424,37,19-Sep-16,2:57 PM,3:05 PM,A,Var,3,3,3,Minford Ave,Minor,2,N,Res,3 to 6,N,N,N,N,Y,Y,Y,13,11,"Curb-Grass
Line",3,N,"Garbage & recycling @
bus stop on corner",Ave,"N:43.73706
W:79.29118",*,,1,0,1
271,425,38,20-Sep-16,9:38 AM,9:48 AM,A,Var,18,17,17,Kencliff Cres,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,8,9,"Curb-Grass
Line",1,N,,Crescent,"N:43.76190
W:79.24863",*,,0,0,0
272,426,39,21-Sep-16,10:47 AM,10:59 AM,A,Var,17,17,17,Glen Springs Dr,Minor,2,N,Res,"3 to 6, over 6",N,N,N,N,N,N,N,7,5,"Curb-Grass
Line",2,N,,Drive,"N:43.80394
W:79.32220",*,"Construction on Warden, start
before #136",2,4,6
273,500,3,16-Sep-16,10:07 AM,10:19 AM,C,Var,15.5,15,15,Lloyd Manor,Minor,2,N,Res,<3,N,N,N,N,N,Y,N,9,10,"Hedge-Curb-
Grass Line",2,N,,Road,"N:43.674568
W:79.557729",,"Starting point across from
Metro supermarket",6,4,10
274,501,36,15-Sep-16,3:30 PM,3:37 PM,A,Var,6.5,5.5,6,Winston,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,3,0,"Fence-Curb-
Grass Line",1,N,,Ave,"N:43.68419
W:79.28351",*,,4,4,8
275,502,36,15-Sep-16,3:13 PM,3:21 PM,A,Var,8,6.5,6.5,Fallingbrook,Minor,2,N,Res,3 to 6,Y,N,N,N,Y,Y,Y,3,11,"Curb-Grass-
Property Line",1,N,,Road,"N:43.68148
W:79.27905",*,,5,8,13
276,503,10,21-Sep-16,2:25 PM,3:32 PM,C,Var,2,2,2,Charleswood,Minor,2,N,Res-Com,3 to 6,Y,Y,N,N,Y,Y,N,21,2,"Hedge-Curb-
Grass Line",3,N,,Drive,"N:43.737921
W:79.435167",,,25,29,54
277,504,35,19-Sep-16,9:20 AM,9:28 AM,A,Var,11,12,13,St Clair E,Major,4,N,Res,<3,N,N,N,N,Y,Y,Y,8,20,"Curb-Grass
Line",2,N,"Garbage & recycling
bins across street",Ave,"N:43.71101
W:79.28610",*,,14,9,23
278,505,40,21-Sep-16,11:29 AM,11:42 AM,A,Fixed,18,18,18,Bridletowne,Minor,2,N,Res,3 to 6,N,N,N,N,N,N,N,8,7,Curb,2,N,,Circle,"N:43.79218
W:79.31615",*,Construction on site,6,4,10
